University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Torrens University Australia,TUA,-34.925,138.601,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Torrens_University_Australia_Trademark.jpg/270px-Torrens_University_Australia_Trademark.jpg,NA,private,Australia,Australia National,22000,2013,61272537533,futurestudents@torrens.edu.au,https://www.torrens.edu.au/,"Design, Public Health",Torrens University Australia was founded in 2013 and they are popular for design and public health.,NA,NA,"Animation, Digital Media, Game Art and Design, Graphic Design, Interior Design, Motion Graphics, UX/UI Design, Creative Writing, Digital Filmmaking, Photography, Visual Art","Business, Accounting, Digital Marketing, Event Management, Finance, Human Resource Management, International Business, Management, Marketing, Project Management, Sport Management, Commerce, Law","Early Childhood Education, Primary Education, Secondary Education","Civil Engineering, Computer Systems Engineering, Data Science and Analytics, Electrical Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering","Paramedicine, Sport and Exercise Science, Nursing, Occupational Therapy, Physiotherapy, Nursing, Occupational Therapy, Physiotherapy","Art, Criminology, Psychology, Sociology, Communication, Journalism","Computer Science, Cybersecurity, Data Science, Information Technology, Cloud Computing, Cybersecurity, Data Analytics, Networking, Software Development",NA,"Criminology, Psychology, Social Work, Social Work",NA,NA
University of Adelaide,UoA,-34.9208,138.6042,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/University-of-Adelaide-Crest.svg/270px-University-of-Adelaide-Crest.svg.png,7,public,Australia,South Australia,31000,1874,61883134455,NA,https://www.adelaide.edu.au/,AI,University of Adelaide was founded in 1874 and they are popular for AI.,NA,"Agriculture, Animal Science, Veterinary Biology","Architecture, Art History, Creative Writing, Design, Film Studies, Fine Art, Music, Performing Art, Visual Communication","Accounting, Business Analytics, Commerce, Economics, Finance, Law, Management, Marketing","Education, Teaching","Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering","Dentistry, Medicine, Nursing, Pharmacy, Physiotherapy, Psychology","Ancient History, Classics, English Literature, History, Languages, Philosophy, Religious Studies","Computer Science, Information Technology","Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics","Criminology, Geography, Political Science, Social Work, Sociology",NA,NA
University of Canberra,UC,-35.237,149.083,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Logo_of_University_of_Canberra.png/300px-Logo_of_University_of_Canberra.png,26,public,Australia,Australian Capital Territory,19000,1990,61262015111,international@canberra.edu.au,https://www.canberra.edu.au/,Sports Management,University of Canberra was founded in 1990 and they are popular for sports management.,NA,Agriculture,"Animation, Creative Writing, Design, Film Production, Fine Art, Graphic Design, Interactive Media Design, Photography, Visual Communication","Accounting, Business, Business Analytics, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing","Early Childhood Education, Education, Primary Education, Secondary Education, Special Education, Teaching","Civil Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering","Biomedical Science, Environmental Health, Health Science, Nursing, Occupational Therapy, Paramedicine, Physiotherapy, Psychology","Criminology, History, Languages, Politics, Sociology","Computer Science, Cybersecurity, Data Science, Information Technology","Biological Science, Chemistry, Environmental Science, Mathematics, Physics","Criminology, Psychology, Social Work",NA,NA
University of Divinity,UD,-37.828,145.008,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/University_of_Divinity_Seal.svg/330px-University_of_Divinity_Seal.svg.png,NA,private,Australia,Australia National,1400,1910,61398533177,enquiries@divinity.edu.au,https://divinity.edu.au/,Theology,University of Divinity was founded in 1910 and they are popular for theology.,NA,NA,NA,NA,NA,NA,NA,"Ministry, Theology, Divinity",NA,NA,NA,NA,NA
University of Melbourne,UniMelb,-37.7963,144.9612,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/The_University_of_Melbourne_Coat_of_Arms.svg/330px-The_University_of_Melbourne_Coat_of_Arms.svg.png,1,public,Australia,Victoria (state),54000,1853,61390355511,NA,https://www.unimelb.edu.au/,"Law, Medicine, MBA","University of Melbourne was founded in 1853 and they are popular for law, medicine and MBA.",NA,"Agriculture, Veterinary Science","Architecture, Fine Art, Music, Design, Film and Television, Art History","Commerce, Business Analytics, Economics, Finance, Accounting, Law, Management","Education, Teaching","Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering, Computer Systems Engineering, Aerospace Engineering, Biomedical Engineering, Environmental Engineering, Materials Engineering, Mining Engineering, Geotechnical Engineering, Structural Engineering, Robotics, Mechatronics","Medicine, Dentistry, Nursing, Pharmacy, Physiotherapy, Occupational Therapy, Speech Pathology, Medical Imaging, Public Health, Biomedical Science","History, English Language and Literature, Philosophy, Languages, Classics, Archaeology, Linguistics","Computer Science, Information Systems","Biology, Chemistry, Physics, Earth Science, Environmental Science, Mathematics, Statistics","Psychology, Sociology, Social Work, Political Science, Anthropology, Criminology",NA,NA
University of New England,UNE,-30.487,151.644,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Univ_of_New_England_Australia_arms.png/270px-Univ_of_New_England_Australia_arms.png,26,public,Australia,New South Wales,23000,1831,61267733333,NA,https://www.une.edu.au/,Agriculture,University of New England was founded in 1831 and they are popular for agriculture.,NA,"Animal Science, Equine Studies","Art History, Communication Design, Digital Media, Fine Art, Graphic Design, Photography","Accounting, Business Administration, Economics, Finance, Management, Marketing","Education, Exercise Science",NA,"Athletic Training, Biomedical Science, Health Science, Nursing, Occupational Therapy, Physical Therapy, Physician Assistant Studies, Public Health","English, History, Philosophy, Political Science, Psychology, Sociology","Computer Science, Cybersecurity, Data Science","Biology, Chemistry, Environmental Science, Marine Biology","Criminology, Social Work",NA,NA
University of New South Wales,UNSW,-33.9173,151.2313,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/University_of_New_South_Wales_Crest_Variant_2022.png/195px-University_of_New_South_Wales_Crest_Variant_2022.png,6,public,Australia,New South Wales,71000,1949,61293851000,NA,https://www.unsw.edu.au/,"Engineering, Solar Tech, Business","University of New South Wales was founded in 1949 and they are popular for engineering, solar tech and business.",NA,NA,"Art History, Design, Fine Art, Music, Performing Art","Actuarial Studies, Accounting, Business Analytics, Commerce, Economics, Finance, Law, Management, Marketing",Education,"Aerospace Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Environmental Engineering, Mechanical Engineering, Mechatronics Engineering, Mining Engineering, Software Engineering, Telecommunications Engineering","Biomedical Engineering, Nursing, Paramedicine, Pharmacy, Physiotherapy","Ancient History, English, History, Languages, Philosophy, Religious Studies","Computer Science, Data Science, Information Systems, Software Engineering","Applied Mathematics, Biology, Chemistry, Earth Science, Mathematics, Physics","Criminology, Psychology, Social Science, Sociology",NA,NA
University of Newcastle,UoN,-32.892,151.702,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/The_University_of_Newcastle_Coat_of_Arms.svg/300px-The_University_of_Newcastle_Coat_of_Arms.svg.png,14,public,Australia,New South Wales,29000,1965,61249215000,NA,https://www.newcastle.edu.au/,"Architecture, Renewable Energy",University of Newcastle was founded in 1965 and they are popular for architecture and renewable energy.,NA,NA,"Architecture, Creative Industries, Design, Fine Art, Music, Performing Art, Visual Art","Accounting, Business, Economics, Finance, Law, Management","Education, Teaching","Civil Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering","Dentistry, Medicine, Nursing, Pharmacy, Physiotherapy, Psychology","Ancient History, English Literature, History, Languages, Linguistics, Philosophy","Computer Science, Data Science, Information Systems, Information Technology","Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics","Criminology, Geography, Political Science, Sociology, Social Work",NA,NA
University of Notre Dame Australia,UNDA,-32.056,115.748,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/The_University_of_Notre_Dame_Australia_Crest.svg/270px-The_University_of_Notre_Dame_Australia_Crest.svg.png,39,public,Australia,Western Australia,12000,1989,NA,Â international@nd.edu.au,https://www.notredame.edu.au/,"Medicine, Law",University of Notre Dame Australia was founded in 1989 and they are popular for medicine and law.,NA,NA,"Creative Art, Fine Art, Digital Media","Accounting, Business, Commerce, Economics, Finance, Law",Education,Engineering,"Nursing, Paramedical Science, Psychology","History, Philosophy, Theology","Computer Science, Information Technology","Biochemistry, Biology, Chemistry, Environmental Science, Mathematics, Physics","Criminology, Psychology, Sociology",NA,NA
University of South Australia,UniSA,-34.9207,138.6041,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Logo_of_the_University_of_South_Australia.svg/345px-Logo_of_the_University_of_South_Australia.svg.png,20,public,Australia,South Australia,35000,1991,61883020114,NA,https://www.unisa.edu.au/,"MBA, Health Science",University of South Australia was founded in 1991 and they are popular for MBA and health sciences.,NA,NA,"Creative Writing, Design, Digital Media, Fine Art, Photography, Visual Communication","Accounting, Business Analytics, Business Information Systems, Economics, Finance, Human Resource Management, International Business, Management, Marketing, Property, Tourism Management, Law","Early Childhood Education, Education, Social Work","Civil Engineering, Computer Systems Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering","Clinical Science, Medical Radiation Science, Nursing, Occupational Therapy, Paramedicine, Pharmacy, Physiotherapy, Psychology","English, History, Philosophy, Politics and International Relations, Sociology","Computer Science, Data Science, Information Technology","Biomedical Science, Chemistry, Environmental Science, Mathematics, Physics","Criminology, Psychology, Social Work, Sociology",NA,NA
University of Southern Queensland,USQ,-27.601,151.931,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/University_of_Southern_Queensland_Coat_of_Arms.svg/270px-University_of_Southern_Queensland_Coat_of_Arms.svg.png,24,public,Australia,Queensland,21000,1967,61746312285,study@unisq.edu.auÂ ,https://www.unisq.edu.au/,EngineeringÂ ,University of Southern Queensland was founded in 1967 and they are popular for engineeringÂ .,NA,"Agriculture, Animal Science","Creative Industries, Fine Art, Design","Accounting, Business, Management, Economics, Law","Education, Teacher Education",Engineering,"Nursing, Paramedicine, Sport and Exercise Science","History, English, Languages, Philosophy","Information Technology, Computer Science","Biology, Chemistry, Physics, Environmental Science, Geography","Psychology, Sociology, Criminology",NA,NA
